date,taiex_close,margin_financing_twd,margin_financing_trillion_twd,foreign_net_buy_twd,foreign_net_buy_100m_twd,usdtwd,taiex_ratio,usdtwd_ratio
2014-10-07,9040.8095703125,213983651000.0,0.213983651,-591551879.0,-5.91551879,29.472999572753906,104.97262746306626,101.12887895685357
2014-10-08,8955.1796875,213847332000.0,0.213847332,-4609118222.0,-46.09118222,29.625,103.97838090602127,101.65042861352885
2014-10-09,8966.4404296875,213266546000.0,0.213266546,-153405986.0,-1.53405986,29.742000579833984,104.10912911893438,102.05188546038642
2014-10-13,8711.3896484375,210349739000.0,0.210349739,-8160827628.0,-81.60827628,29.476999282836914,101.14774049150034,101.14260291446597
2014-10-14,8768.3896484375,209626728000.0,0.209626728,-2318296230.0,-23.1829623,29.648000717163086,101.80956615200787,101.7293495505093
2014-10-15,8655.509765625,208014848000.0,0.208014848,-3457550894.0,-34.57550894,29.170000076293945,100.49892048533428,100.08921554133158
2014-10-16,8633.6904296875,206115488000.0,0.206115488,-4930349208.0,-49.30349208,29.503000259399414,100.24557668851548,101.23181845579757
2014-10-17,8512.8798828125,204759474000.0,0.204759474,-7121316068.0,-71.21316068,,98.84284826778178,
2014-10-20,8663.1396484375,204492279000.0,0.204492279,2504109273.0,25.04109273,30.399999618530273,100.58751087536899,104.30963682952626
2014-10-21,8654.6396484375,204263665000.0,0.204263665,-2407716063.0,-24.07716063,29.687000274658203,100.48881757511785,101.86316631793939
2014-10-22,8748.830078125,203868483000.0,0.203868483,5370113145.0,53.70113145,30.365999221801758,101.58246044075673,104.19297337296985
2014-10-23,8731.0703125,203809133000.0,0.203809133,1494904111.0,14.94904111,29.65999984741211,101.37625221943702,101.77052142334652
2014-10-24,8646.009765625,203973948000.0,0.203973948,-5956255914.0,-59.56255914,,100.38861620858303,
2014-10-27,8627.7802734375,201025332000.0,0.201025332,6087842273.0,60.87842273,29.56800079345703,100.17695400318462,101.45485076455927
